id,state_abbr,address_type,location_source_value,lat_input,long_input,geocoder,rating_postgis,lat_gc,long_gc,result_postgis,geometry,score_degauss,precision_degauss,result_degauss,type_gc,result_nominatim,failure,geometry_true,gc_diff_m
0,CA,Street Address,"41100 PINEBENCH ROAD, YUCAIPA, CA 92399",34.03332925559532,-116.90609379452758,degauss,NA,34.035802,-116.909906,NA,"c(-116.909906, 34.035802)",0.977,range,1,NA,NA,FALSE,"c(-116.906093794528, 34.0333292555953)",446.09683003060013
0,CA,Street Address,"41100 PINEBENCH ROAD, YUCAIPA, CA 92399",34.03332925559532,-116.90609379452758,nominatim,NA,NA,NA,NA,"c(NA, NA)",NA,NA,NA,NA,NA,TRUE,"c(-116.906093794528, 34.0333292555953)",NA
0,CA,Street Address,"41100 PINEBENCH ROAD, YUCAIPA, CA 92399",34.03332925559532,-116.90609379452758,postgis,18,34.03578,-116.90993,1,"c(-116.90993, 34.03578)",NA,NA,NA,NA,NA,FALSE,"c(-116.906093794528, 34.0333292555953)",446.3426906980345
1,CT,Street Address,"2 VAIL RD, BETHEL, CT 6801",41.41754600003013,-73.39380799964707,degauss,NA,41.418305,-73.393318,NA,"c(-73.393318, 41.418305)",0.878,range,1,NA,NA,FALSE,"c(-73.3938079996471, 41.4175460000301)",93.76737386385989
1,CT,Street Address,"2 VAIL RD, BETHEL, CT 6801",41.41754600003013,-73.39380799964707,nominatim,NA,41.4181184,-73.3946095,NA,"c(-73.3946095, 41.4181184)",NA,NA,NA,house,1,FALSE,"c(-73.3938079996471, 41.4175460000301)",92.29206645908657
1,CT,Street Address,"2 VAIL RD, BETHEL, CT 6801",41.41754600003013,-73.39380799964707,postgis,2,41.42066000000001,-73.39344000000001,1,"c(-73.39344, 41.42066)",NA,NA,NA,NA,NA,FALSE,"c(-73.3938079996471, 41.4175460000301)",347.6185342094532
2,GU,Street Address,"340 CARNATION AVENUE, MANGILAO, GU 96913",13.48615714605964,144.84314524886668,degauss,NA,13.444257,144.786297,NA,"c(144.786297, 13.444257)",0.598,zip,1,NA,NA,FALSE,"c(144.843145248867, 13.4861571460596)",7713.540101288786
2,GU,Street Address,"340 CARNATION AVENUE, MANGILAO, GU 96913",13.48615714605964,144.84314524886668,nominatim,NA,NA,NA,NA,"c(NA, NA)",NA,NA,NA,NA,NA,TRUE,"c(144.843145248867, 13.4861571460596)",NA
2,GU,Street Address,"340 CARNATION AVENUE, MANGILAO, GU 96913",13.48615714605964,144.84314524886668,postgis,NA,NA,NA,NA,"c(NA, NA)",NA,NA,NA,NA,NA,TRUE,"c(144.843145248867, 13.4861571460596)",NA
3,FL,Street Address,"1541 MEDICAL DRIVE, TALLAHASSEE, FL 32308",30.45905342365598,-84.25927294096789,degauss,NA,30.458759,-84.259384,NA,"c(-84.259384, 30.458759)",1,range,1,NA,NA,FALSE,"c(-84.2592729409679, 30.459053423656)",34.42560193290603
3,FL,Street Address,"1541 MEDICAL DRIVE, TALLAHASSEE, FL 32308",30.45905342365598,-84.25927294096789,nominatim,NA,30.4587979,-84.2595176,NA,"c(-84.2595176, 30.4587979)",NA,NA,NA,unclassified,1,FALSE,"c(-84.2592729409679, 30.459053423656)",36.840457924939756
3,FL,Street Address,"1541 MEDICAL DRIVE, TALLAHASSEE, FL 32308",30.45905342365598,-84.25927294096789,postgis,0,30.45876,-84.25938000000001,1,"c(-84.25938, 30.45876)",NA,NA,NA,NA,NA,FALSE,"c(-84.2592729409679, 30.459053423656)",34.20289785639999
4,AK,Street Address,"7801 E 32ND AVE, ANCHORAGE, AK 99504",61.1922773818946,-149.73551968230154,degauss,NA,61.191672,-149.736182,NA,"c(-149.736182, 61.191672)",0.941,range,1,NA,NA,FALSE,"c(-149.735519682302, 61.1922773818946)",76.097375371415
4,AK,Street Address,"7801 E 32ND AVE, ANCHORAGE, AK 99504",61.1922773818946,-149.73551968230154,nominatim,NA,61.1922859,-149.7353623,NA,"c(-149.7353623, 61.1922859)",NA,NA,NA,university,1,FALSE,"c(-149.735519682302, 61.1922773818946)",8.485849242911039
4,AK,Street Address,"7801 E 32ND AVE, ANCHORAGE, AK 99504",61.1922773818946,-149.73551968230154,nominatim,NA,61.192473750000005,-149.73491634871812,NA,"c(-149.734916348718, 61.19247375)",NA,NA,NA,house,2,FALSE,"c(-149.735519682302, 61.1922773818946)",39.01086550127087
4,AK,Street Address,"7801 E 32ND AVE, ANCHORAGE, AK 99504",61.1922773818946,-149.73551968230154,nominatim,NA,61.1923355,-149.7350549,NA,"c(-149.7350549, 61.1923355)",NA,NA,NA,bicycle_parking,3,FALSE,"c(-149.735519682302, 61.1922773818946)",25.728671359516323
4,AK,Street Address,"7801 E 32ND AVE, ANCHORAGE, AK 99504",61.1922773818946,-149.73551968230154,postgis,0,61.19176,-149.73618,1,"c(-149.73618, 61.19176)",NA,NA,NA,NA,NA,FALSE,"c(-149.735519682302, 61.1922773818946)",67.53943100243357
5,NH,Street Address,"99 ARMSTRONG AVE, LISBON, NH 3585",44.21185399995132,-71.91780699991982,degauss,NA,44.211619,-71.918323,NA,"c(-71.918323, 44.211619)",1,range,1,NA,NA,FALSE,"c(-71.9178069999198, 44.2118539999513)",48.72523815915862
5,NH,Street Address,"99 ARMSTRONG AVE, LISBON, NH 3585",44.21185399995132,-71.91780699991982,nominatim,NA,44.2125767,-71.9169883,NA,"c(-71.9169883, 44.2125767)",NA,NA,NA,residential,1,FALSE,"c(-71.9178069999198, 44.2118539999513)",103.51570011565695
5,NH,Street Address,"99 ARMSTRONG AVE, LISBON, NH 3585",44.21185399995132,-71.91780699991982,postgis,0,44.21157,-71.91822,1,"c(-71.91822, 44.21157)",NA,NA,NA,NA,NA,FALSE,"c(-71.9178069999198, 44.2118539999513)",45.61533370237854
