id,location_source_value,lat_input,long_input,geocoder,rating_postgis,lat_gc,long_gc,result_postgis,geometry,score_degauss,precision_degauss,result_degauss,type_gc,result_nominatim,failure,geometry_true,gc_diff_m
0,"143 STATE ST, PORTLAND, ME 04101",43.6520767211914,-70.2650756835938,degauss,NA,43.652068,-70.26517,NA,"c(-70.26517, 43.652068)",1,range,1,NA,NA,FALSE,"c(-70.2650756835938, 43.6520767211914)",7.649907577380256
0,"143 STATE ST, PORTLAND, ME 04101",43.6520767211914,-70.2650756835938,nominatim,NA,43.652336500000004,-70.26455576124825,NA,"c(-70.2645557612482, 43.6523365)",NA,NA,NA,place_of_worship,1,FALSE,"c(-70.2650756835938, 43.6520767211914)",50.834667235422494
0,"143 STATE ST, PORTLAND, ME 04101",43.6520767211914,-70.2650756835938,postgis,0,43.65214,-70.2651,1,"c(-70.2651, 43.65214)",NA,NA,NA,NA,NA,FALSE,"c(-70.2650756835938, 43.6520767211914)",7.303204533942514
1,"938 LONG PLAINS RD, BUXTON, ME 04093",43.6489143371582,-70.5417098999023,degauss,NA,43.649721,-70.543931,NA,"c(-70.543931, 43.649721)",0.684,range,1,NA,NA,FALSE,"c(-70.5417098999023, 43.6489143371582)",199.9534424200101
1,"938 LONG PLAINS RD, BUXTON, ME 04093",43.6489143371582,-70.5417098999023,nominatim,NA,43.6490017,-70.5412476,NA,"c(-70.5412476, 43.6490017)",NA,NA,NA,church,1,FALSE,"c(-70.5417098999023, 43.6489143371582)",38.44369766479089
1,"938 LONG PLAINS RD, BUXTON, ME 04093",43.6489143371582,-70.5417098999023,postgis,0,43.64973000000001,-70.54319000000001,1,"c(-70.54319, 43.64973)",NA,NA,NA,NA,NA,FALSE,"c(-70.5417098999023, 43.6489143371582)",149.69181296155696
2,"44 MOUSE LN, ALFRED, ME 04002",43.4613723754883,-70.7004776000977,degauss,NA,43.461596,-70.700372,NA,"c(-70.700372, 43.461596)",1,range,1,NA,NA,FALSE,"c(-70.7004776000977, 43.4613723754883)",26.286039165870047
2,"44 MOUSE LN, ALFRED, ME 04002",43.4613723754883,-70.7004776000977,nominatim,NA,43.46136,-70.6998632,NA,"c(-70.6998632, 43.46136)",NA,NA,NA,house,1,FALSE,"c(-70.7004776000977, 43.4613723754883)",49.6071186864962
2,"44 MOUSE LN, ALFRED, ME 04002",43.4613723754883,-70.7004776000977,postgis,0,43.4616,-70.70032,1,"c(-70.70032, 43.4616)",NA,NA,NA,NA,NA,FALSE,"c(-70.7004776000977, 43.4613723754883)",28.327143707341065
3,"672 MAIN ST, DAMARISCOTTA, ME 04543",44.0466194152832,-69.5044326782227,degauss,NA,44.046609,-69.504519,NA,"c(-69.504519, 44.046609)",1,range,1,NA,NA,FALSE,"c(-69.5044326782227, 44.0466194152832)",6.99572726888018
3,"672 MAIN ST, DAMARISCOTTA, ME 04543",44.0466194152832,-69.5044326782227,nominatim,NA,44.04847,-69.5034214,NA,"c(-69.5034214, 44.04847)",NA,NA,NA,house,1,FALSE,"c(-69.5044326782227, 44.0466194152832)",221.07988440656587
